overallNo;noInSeason;title;directedBy;writtenBy;originalAirDate;prodCode;usViewersInMillions
269;21;Simpsons Tall Tales;Bob Anderson;John Frink & Don Payne & Bob Bendetson & Matt Selman;May 20, 2001;CABF17;13.4
270;1;Treehouse of Horror XII;Jim Reardon;Joel H. Cohen & John Frink & Don Payne & Carolyn Omine;November 6, 2001;CABF19;13
271;2;The Parent Rap;Mark Kirkland;George Meyer & Mike Scully;November 11, 2001;CABF22;14.9
272;3;Homer the Moe;Jen Kamerman;Dana Gould;November 18, 2001;CABF20;14.4
273;4;A Hunka Hunka Burns in Love;Lance Kramer;John Swartzwelder;December 2, 2001;CABF18;13.4
274;5;The Blunder Years;Steven Dean Moore;Ian Maxtone-Graham;December 9, 2001;CABF21;12.9
275;6;She of Little Faith;Steven Dean Moore;Bill Freiberger;December 16, 2001;DABF02;13.2
276;7;Brawl in the Family;Matthew Nastuk;Joel H. Cohen;January 6, 2002;DABF01;11.8
277;8;Sweets and Sour Marge;Mark Kirkland;Carolyn Omine;January 20, 2002;DABF03;12.3
278;9;Jaws Wired Shut;Nancy Kruse;Matt Selman;January 27, 2002;DABF05;14.2
279;10;Half-Decent Proposal;Lauren MacMullan;Tim Long;February 10, 2002;DABF04;13.2
280;11;The Bart Wants What It Wants;Michael Polcino;John Frink & Don Payne;February 17, 2002;DABF06;11.2
281;12;The Lastest Gun in the West;Bob Anderson;John Swartzwelder;February 24, 2002;DABF07;13.2
282;13;The Old Man and the Key;Lance Kramer;Jon Vitti;March 10, 2002;DABF09;14.5
283;14;Tales from the Public Domain;Mike B. Anderson;Andrew Kreisberg & Josh Lieb & Matt Warburton;March 17, 2002;DABF08;11.7
284;15;Blame It on Lisa;Steven Dean Moore;Bob Bendetson;March 31, 2002;DABF10;11.1
285;16;Weekend at Burnsie's;Michael Marcantel;Jon Vitti;April 7, 2002;DABF11;12.5
286;17;Gump Roast;Mark Kirkland;Deb Lacusta & Dan Castellaneta;April 21, 2002;DABF12;12.3
287;18;I Am Furious (Yellow);Chuck Sheetz;John Swartzwelder;April 28, 2002;DABF13;12.4
288;19;The Sweetest Apu;Matthew Nastuk;John Swartzwelder;May 5, 2002;DABF14;11.8
289;20;Little Girl in the Big Ten;Lauren MacMullan;Jon Vitti;May 12, 2002;DABF15;11.2
290;21;The Frying Game;Michael Polcino;John Swartzwelder;May 19, 2002;DABF16;10.8
291;22;Poppa's Got a Brand New Badge;Pete Michels;Dana Gould;May 22, 2002;DABF17;8.2
292;1;Treehouse of Horror XIII;David Silverman;Marc Wilmore & Brian Kelley & Kevin Curran;November 3, 2002;DABF19;16.7
293;2;How I Spent My Strummer Vacation;Mike B. Anderson;Mike Scully;November 10, 2002;DABF22;12.5
294;3;Bart vs. Lisa vs. the Third Grade;Steven Dean Moore;Tim Long;November 17, 2002;DABF20;13.3
295;4;Large Marge;Jim Reardon;Ian Maxtone-Graham;November 24, 2002;DABF18;17.4
296;5;Helter Shelter;Mark Kirkland;Brian Pollack & Mert Rich;December 1, 2002;DABF21;15.1
297;6;The Great Louse Detective;Steven Dean Moore;John Frink & Don Payne;December 15, 2002;EABF01;15.5
298;7;Special Edna;Bob Anderson;Dennis Snee;January 5, 2003;EABF02;15.0
299;8;The Dad Who Knew Too Little;Mark Kirkland;Matt Selman;January 12, 2003;EABF03;12.8
300;9;The Strong Arms of the Ma;Pete Michels;Carolyn Omine;February 2, 2003;EABF04;15.4
301;10;Pray Anything;Michael Polcino;Sam O'Neal & Neal Boushell;February 9, 2003;EABF06;13.4
302;11;Barting Over;Matthew Nastuk;Andrew Kreisberg;February 16, 2003;EABF05;21.3
303;12;I'm Spelling as Fast as I Can;Nancy Kruse;Kevin Curran;February 16, 2003;EABF07;22.1
304;13;A Star Is Born Again;Michael Marcantel;Brian Kelley;March 2, 2003;EABF08;14.4
305;14;Mr. Spritz Goes to Washington;Lance Kramer;John Swartzwelder;March 9, 2003;EABF09;14.4
306;15;C.E.D'oh;Mike B. Anderson;Dana Gould;March 16, 2003;EABF10;13.0
307;16;'Scuse Me While I Miss the Sky;Steven Dean Moore;Dan Greaney & Allen Glazier;March 30, 2003;EABF11;12.6
308;17;Three Gays of the Condo;Mark Kirkland;Matt Warburton;April 13, 2003;EABF12;12.02
309;18;Dude, Where's My Ranch?;Chris Clements;Ian Maxtone-Graham;April 27, 2003;EABF13;11.71
310;19;Old Yeller-Belly;Bob Anderson;John Frink & Don Payne;May 4, 2003;EABF14;11.59
311;20;Brake My Wife, Please;Pete Michels;Tim Long;May 11, 2003;EABF15;10.56
312;21;The Bart of War;Michael Polcino;Marc Wilmore;May 18, 2003;EABF16;12.10
313;22;Moe Baby Blues;Lauren MacMullan;J. Stewart Burns;May 18, 2003;EABF17;13.44
314;1;Treehouse of Horror XIV;Steven Dean Moore;John Swartzwelder;November 2, 2003;EABF21;16.22
315;2;My Mother the Carjacker;Nancy Kruse;Michael Price;November 9, 2003;EABF18;12.4
316;3;The President Wore Pearls;Mike B. Anderson;Dana Gould;November 16, 2003;EABF20;12.7
317;4;The Regina Monologues;Mark Kirkland;John Swartzwelder;November 23, 2003;EABF22;12.2
318;5;The Fat and the Furriest;Matthew Nastuk;Joel H. Cohen;November 30, 2003;EABF19;11.7
319;6;Today I Am a Clown;Nancy Kruse;Joel H. Cohen;December 7, 2003;FABF01;10.5
320;7;'Tis the Fifteenth Season;Steven Dean Moore;Michael Price;December 14, 2003;FABF02;11.3
321;8;Marge vs. Singles, Seniors, Childless Couples and Teens and Gays;Bob Anderson;Jon Vitti;January 4, 2004;FABF03;12.0
322;9;I, (Annoyed Grunt)-bot;Lauren MacMullan;Dan Greaney & Allen Glazier;January 11, 2004;FABF04;16.3
323;10;Diatribe of a Mad Housewife;Mark Kirkland;Robin J. Stein;January 25, 2004;FABF05;10.6
324;11;Margical History Tour;Mike B. Anderson;Brian Kelley;February 8, 2004;FABF06;8.9
325;12;Milhouse Doesn't Live Here Anymore;Matthew Nastuk;Julie Chambers & David Chambers;February 15, 2004;FABF07;9.4
326;13;Smart & Smarter;Steven Dean Moore;Carolyn Omine;February 22, 2004;FABF09;12.6
327;14;The Ziff Who Came to Dinner;Nancy Kruse;Deb Lacusta & Dan Castellaneta;March 14, 2004;FABF08;10.7
328;15;Co-Dependents' Day;Bob Anderson;Matt Warburton;March 21, 2004;FABF10;11.2
329;16;The Wandering Juvie;Lauren MacMullan;John Frink & Don Payne;March 28, 2004;FABF11;10.5
330;17;My Big Fat Geek Wedding;Mark Kirkland;Kevin Curran;April 18, 2004;FABF12;9.2
331;18;Catch 'Em If You Can;Matthew Nastuk;Ian Maxtone-Graham;April 25, 2004;FABF14;9.3
332;19;Simple Simpson;Jim Reardon;Jon Vitti;May 2, 2004;FABF15;9.5
333;20;The Way We Weren't;Mike B. Anderson;J. Stewart Burns;May 9, 2004;FABF13;6.6
334;21;Bart-Mangled Banner;Steven Dean Moore;John Frink;May 16, 2004;FABF17;8.7
335;22;Fraudcast News;Bob Anderson;Don Payne;May 23, 2004;FABF18;9.2
336;1;Treehouse of Horror XV;David Silverman;Bill Odenkirk;November 7, 2004;FABF23;11.29
337;2;All's Fair in Oven War;Mark Kirkland;Matt Selman;November 14, 2004;FABF20;11.64
338;3;Sleeping with the Enemy;Lauren MacMullan;Jon Vitti;November 21, 2004;FABF19;9.95
339;4;She Used to Be My Girl;Matthew Nastuk;Tim Long;December 5, 2004;FABF22;10.81
340;5;Fat Man and Little Boy;Mike B. Anderson;Joel H. Cohen;December 12, 2004;FABF21;10.31
341;6;Midnight Rx;Nancy Kruse;Marc Wilmore;January 16, 2005;FABF16;8.11
342;7;Mommie Beerest;Mark Kirkland;Michael Price;January 30, 2005;GABF01;9.97
343;8;Homer and Ned's Hail Mary Pass;Steven Dean Moore;Tim Long;February 6, 2005;GABF02;23.07
344;9;Pranksta Rap;Mike B. Anderson;Matt Selman;February 13, 2005;GABF03;8.01
345;10;There's Something About Marrying;Nancy Kruse;J. Stewart Burns;February 20, 2005;GABF04;10.39
346;11;On a Clear Day I Can't See My Sister;Bob Anderson;Jeff Westbrook;March 6, 2005;GABF05;10.39
347;12;Goo Goo Gai Pan;Lance Kramer;Lawrence Talbot;March 13, 2005;GABF06;10.28
348;13;Mobile Homer;Raymond S. Persi;Tim Long;March 20, 2005;GABF07;8.49
349;14;The Seven-Beer Snitch;Matthew Nastuk;Bill Odenkirk;April 3, 2005;GABF08;7.48
350;15;Future-Drama;Mike B. Anderson;Matt Selman;April 17, 2005;GABF12;8.31
351;16;Don't Fear the Roofer;Mark Kirkland;Kevin Curran;May 1, 2005;GABF10;11.92
352;17;The Heartbroke Kid;Steven Dean Moore;Ian Maxtone-Graham;May 1, 2005;GABF11;10.79
353;18;A Star Is Torn;Nancy Kruse;Carolyn Omine;May 8, 2005;GABF13;8.72
354;19;Thank God It's Doomsday;Michael Marcantel;Don Payne;May 8, 2005;GABF14;10.05
355;20;Home Away from Homer;Bob Anderson;Joel H. Cohen;May 15, 2005;GABF15;8.17
356;21;The Father, the Son, and the Holy Guest Star;Michael Polcino;Matt Warburton;May 15, 2005;GABF09;9.69
357;1;The Bonfire of the Manatees;Mark Kirkland;Dan Greaney;September 11, 2005;GABF18;11.10
358;2;The Girl Who Slept Too Little;Raymond S. Persi;John Frink;September 18, 2005;GABF16;9.79
359;3;Milhouse of Sand and Fog;Steven Dean Moore;Patric M. Verrone;September 25, 2005;GABF19;10.19
360;4;Treehouse of Horror XVI;David Silverman;Marc Wilmore;November 6, 2005;GABF17;11.63
361;5;Marge's Son Poisoning;Mike B. Anderson;Daniel Chun;November 13, 2005;GABF20;11.4
362;6;See Homer Run;Nancy Kruse;Stephanie Gillis;November 20, 2005;GABF21;10.3
363;7;The Last of the Red Hat Mamas;Matthew Nastuk;Joel H. Cohen;November 27, 2005;GABF22;11.46
364;8;The Italian Bob;Mark Kirkland;John Frink;December 11, 2005;HABF02;10.39
365;9;Simpsons Christmas Stories;Steven Dean Moore;Don Payne;December 18, 2005;HABF01;9.8
366;10;Homer's Paternity Coot;Mike B. Anderson;Joel H. Cohen;January 8, 2006;HABF03;10.1
367;11;We're on the Road to D'ohwhere;Nancy Kruse;Kevin Curran;January 29, 2006;HABF04;9.04
368;12;My Fair Laddy;Bob Anderson;Michael Price;February 26, 2006;HABF05;9.51
369;13;The Seemingly Never-Ending Story;Raymond S. Persi;Ian Maxtone-Graham;March 12, 2006;HABF06;9.72
370;14;Bart Has Two Mommies;Mike Marcantel;Dana Gould;March 19, 2006;HABF07;8.75
371;15;Homer Simpson, This Is Your Wife;Matthew Nastuk;Ricky Gervais;March 26, 2006;HABF08;10.09
372;16;Million-Dollar Abie;Steven Dean Moore;Tim Long;April 2, 2006;HABF09;7.83
373;17;Kiss Kiss, Bang Bangalore;Mark Kirkland;Deb Lacusta & Dan Castellaneta;April 9, 2006;HABF10;8.20
374;18;The Wettest Stories Ever Told;Mike B. Anderson;Jeff Westbrook;April 23, 2006;HABF11;7.04
375;19;Girls Just Want to Have Sums;Nancy Kruse;Matt Selman;April 30, 2006;HABF12;8.7
376;20;Regarding Margie;Michael Polcino;Marc Wilmore;May 7, 2006;HABF13;8.50
377;21;The Monkey Suit;Raymond S. Persi;J. Stewart Burns;May 14, 2006;HABF14;8.3
378;22;Marge and Homer Turn a Couple Play;Bob Anderson;Joel H. Cohen;May 21, 2006;HABF16;8.23
379;1;The Mook, the Chef, the Wife and Her Homer;Michael Marcantel;Bill Odenkirk;September 10, 2006;HABF15;11.50
380;2;Jazzy and the Pussycats;Steven Dean Moore;Daniel Chun;September 17, 2006;HABF18;8.94
381;3;Please Homer, Don't Hammer 'Em;Mike B. Anderson & Ralph Sosa;Matt Warburton;September 24, 2006;HABF20;9.72
382;4;Treehouse of Horror XVII;David Silverman & Matthew Faughnan;Peter Gaffney;November 5, 2006;HABF17;10.43
383;5;G.I. (Annoyed Grunt);Nancy Kruse;Daniel Chun;November 12, 2006;HABF21;11.43
384;6;Moe'N'a Lisa;Mark Kirkland;Matt Warburton;November 19, 2006;HABF19;9.31
385;7;Ice Cream of Margie (with the Light Blue Hair);Matthew Nastuk;Carolyn Omine;November 26, 2006;HABF22;10.90
386;8;The Haw-Hawed Couple;Chris Clements;Matt Selman;December 10, 2006;JABF02;8.29
387;9;Kill Gil, Volumes I & II;Bob Anderson;Jeff Westbrook;December 17, 2006;JABF01;8.96
388;10;The Wife Aquatic;Lance Kramer;Kevin Curran;January 7, 2007;JABF03;13.90
389;11;Revenge Is a Dish Best Served Three Times;Michael Polcino;Joel H. Cohen;January 28, 2007;JABF05;8.09
390;12;Little Big Girl;Raymond S. Persi;Don Payne;February 11, 2007;JABF04;8.27
391;13;Springfield Up;Chuck Sheetz;Matt Warburton;February 18, 2007;JABF07;8.80
392;14;Yokel Chords;Susie Dietter;Michael Price;March 4, 2007;JABF09;9.09
393;15;Rome-Old and Juli-Eh;Nancy Kruse;Daniel Chun;March 11, 2007;JABF08;8.98
394;16;Homerazzi;Matthew Nastuk;J. Stewart Burns;March 25, 2007;JABF06;6.91
395;17;Marge Gamer;Bob Anderson;J. Stewart Burns;April 22, 2007;JABF10;6.40
396;18;The Boys of Bummer;Rob Oliver;Michael Price;April 29, 2007;JABF11;7.57
397;19;Crook and Ladder;Lance Kramer;Bill Odenkirk;May 6, 2007;JABF13;7.72
398;20;Stop! Or My Dog Will Shoot;Matthew Faughnan;John Frink;May 13, 2007;JABF12;6.48
399;21;24 Minutes;Raymond S. Persi;Billy Kimball & Ian Maxtone-Graham;May 20, 2007;JABF14;9.80
400;22;You Kent Always Say What You Want;Matthew Nastuk;Tim Long;May 20, 2007;JABF15;9.80
401;1;He Loves to Fly and He D'ohs;Mark Kirkland;Joel H. Cohen;September 23, 2007;JABF20;9.7
402;2;The Homer of Seville;Michael Polcino;Carolyn Omine;September 30, 2007;JABF18;8.4
403;3;Midnight Towboy;Matthew Nastuk;Stephanie Gillis;October 7, 2007;JABF21;7.7
404;4;I Don't Wanna Know Why the Caged Bird Sings;Bob Anderson;Dana Gould;October 14, 2007;JABF19;8.8
405;5;Treehouse of Horror XVIII;Chuck Sheetz;Marc Wilmore;November 4, 2007;JABF16;11.7
406;6;Little Orphan Millie;Lance Kramer;Mick Kelly;November 11, 2007;JABF22;10.57
407;7;Husbands and Knives;Nancy Kruse;Matt Selman;November 18, 2007;JABF17;10.5
408;8;Funeral for a Fiend;Rob Oliver;Michael Price;November 25, 2007;KABF01;9.0
409;9;Eternal Moonshine of the Simpson Mind;Chuck Sheetz;J. Stewart Burns;December 16, 2007;KABF02;10.15
410;10;E Pluribus Wiggum;Michael Polcino;Michael Price;January 6, 2008;KABF03;8.2
411;11;That '90s Show;Mark Kirkland;Matt Selman;January 27, 2008;KABF04;7.6
412;12;Love, Springfieldian Style;Raymond S. Persi;Don Payne;February 17, 2008;KABF05;7.81
413;13;The Debarted;Matthew Nastuk;Joel H. Cohen;March 2, 2008;KABF06;8.18
414;14;Dial 'N' for Nerder;Bob Anderson;Carolyn Omine & William Wright;March 9, 2008;KABF07;7.3
415;15;Smoke on the Daughter;Lance Kramer;Billy Kimball;March 30, 2008;KABF08;7.10
416;16;Papa Don't Leech;Chris Clements;Reid Harrison;April 13, 2008;KABF09;6.9
417;17;Apocalypse Cow;Nancy Kruse;Jeff Westbrook;April 27, 2008;KABF10;7.69
418;18;Any Given Sundance;Chuck Sheetz;Daniel Chun;May 4, 2008;KABF11;6.18
419;19;Mona Leaves-a;Mike B. Anderson & Ralph Sosa;Joel H. Cohen;May 11, 2008;KABF12;6.02
420;20;All About Lisa;Steven Dean Moore;John Frink;May 18, 2008;KABF13;6.11
421;1;Sex, Pies and Idiot Scrapes;Lance Kramer;Kevin Curran;September 28, 2008;KABF17;9.3
422;2;Lost Verizon;Raymond S. Persi;John Frink;October 5, 2008;KABF15;7.43
423;3;Double, Double, Boy in Trouble;Nancy Kruse;Bill Odenkirk;October 19, 2008;KABF14;8.09
424;4;Treehouse of Horror XIX;Bob Anderson;Matt Warburton;November 2, 2008;KABF16;12.48
425;5;Dangerous Curves;Matthew Faughnan;Billy Kimball & Ian Maxtone-Graham;November 9, 2008;KABF18;8.16
426;6;Homer and Lisa Exchange Cross Words;Michael Polcino;Tim Long;November 16, 2008;KABF19;8.52
427;7;MyPods and Boomsticks;Steven Dean Moore;Marc Wilmore;November 30, 2008;KABF20;7.80
428;8;The Burns and the Bees;Mark Kirkland;Stephanie Gillis;December 7, 2008;KABF21;6.19
429;9;Lisa the Drama Queen;Matthew Nastuk;Brian Kelley;January 25, 2009;KABF22;5.75
430;10;Take My Life, Please;Steven Dean Moore;Don Payne;February 15, 2009;LABF01;6.82
431;11;How the Test Was Won;Lance Kramer;Michael Price;March 1, 2009;LABF02;6.52
432;12;No Loan Again, Naturally;Mark Kirkland;Jeff Westbrook;March 8, 2009;LABF03;5.99
433;13;Gone Maggie Gone;Chris Clements;Billy Kimball & Ian Maxtone-Graham;March 15, 2009;LABF04;5.99
434;14;In the Name of the Grandfather;Ralph Sosa;Matt Marshall;March 17, 2009 (Sky1) & March 22, 2009 (Fox);LABF11;6.15
435;15;Wedding for Disaster;Chuck Sheetz;Joel H. Cohen;March 29, 2009;LABF05;6.58
436;16;Eeny Teeny Maya Moe;Nancy Kruse;John Frink;April 5, 2009;LABF06;6.50
437;17;The Good, the Sad and the Drugly;Rob Oliver;Marc Wilmore;April 19, 2009;LABF07;6.50
438;18;Father Knows Worst;Matthew Nastuk;Rob LaZebnik;April 26, 2009;LABF08;5.94
439;19;Waverly Hills, 9-0-2-1-D'oh;Michael Polcino;J. Stewart Burns;May 3, 2009;LABF10;6.75
440;20;Four Great Women and a Manicure;Raymond S. Persi;Valentina L. Garza;May 10, 2009;LABF09;5.16
441;21;Coming to Homerica;Steven Dean Moore;Brendan Hay;May 17, 2009;LABF12;5.86
442;1;Homer the Whopper;Lance Kramer;Seth Rogen & Evan Goldberg;September 27, 2009;LABF13;8.31
443;2;Bart Gets a 'Z';Mark Kirkland;Matt Selman;October 4, 2009;LABF15;9.32
444;3;The Great Wife Hope;Matthew Faughnan;Carolyn Omine;October 11, 2009;LABF16;7.5
445;4;Treehouse of Horror XX;Mike B. Anderson & Matthew Schofield;Daniel Chun;October 18, 2009;LABF14;8.59
446;5;The Devil Wears Nada;Nancy Kruse;Tim Long;November 15, 2009;LABF17;9.04
447;6;Pranks and Greens;Chuck Sheetz;Jeff Westbrook;November 22, 2009;LABF18;7.03
448;7;Rednecks and Broomsticks;Bob Anderson & Rob Oliver;Kevin Curran;November 29, 2009;LABF19;9.02
449;8;O Brother, Where Bart Thou?;Steven Dean Moore;Matt Selman;December 13, 2009;MABF01;7.11
450;9;Thursdays with Abie;Michael Polcino;Don Payne & Mitchell H. Glazer;January 3, 2010;MABF02;8.65
451;10;Once Upon a Time in Springfield;Matthew Nastuk;Stephanie Gillis;January 10, 2010;LABF20;14.62
452;11;Million Dollar Maybe;Chris Clements;Bill Odenkirk;January 31, 2010;MABF03;5.11
453;12;Boy Meets Curl;Chuck Sheetz;Rob LaZebnik;February 14, 2010;MABF05;5.87
454;13;The Color Yellow;Raymond S. Persi;Billy Kimball & Ian Maxtone-Graham;February 21, 2010;MABF06;6.08
455;14;Postcards from the Wedge;Mark Kirkland;Brian Kelley;March 14, 2010;MABF04;5.23
456;15;Stealing First Base;Steven Dean Moore;John Frink;March 21, 2010;MABF07;5.69
457;16;The Greatest Story Ever D'ohed;Michael Polcino;Kevin Curran;March 28, 2010;MABF10;5.69
458;17;American History X-cellent;Bob Anderson;Michael Price;April 11, 2010;MABF08;5.65
459;18;Chief of Hearts;Chris Clements;Carolyn Omine & William Wright;April 18, 2010;MABF09;5.93
460;19;The Squirt and the Whale;Mark Kirkland;Matt Warburton;April 25, 2010;MABF14;5.94
461;20;To Surveil with Love;Lance Kramer;Michael Nobori;May 2, 2010;MABF12;6.06
462;21;Moe Letter Blues;Matthew Nastuk;Stephanie Gillis;May 9, 2010;MABF13;5.66
463;22;The Bob Next Door;Nancy Kruse;John Frink;May 16, 2010;MABF11;6.26
464;23;Judge Me Tender;Steven Dean Moore;Dan Greaney & Allen Glazier;May 23, 2010;MABF15;5.74
465;1;Elementary School Musical;Mark Kirkland;Tim Long;September 26, 2010;MABF21;7.75
466;2;Loan-a Lisa;Matthew Faughnan;Valentina L. Garza;October 3, 2010;MABF17;8.59
467;3;MoneyBart;Nancy Kruse;Tim Long;October 10, 2010;MABF18;6.72
468;4;Treehouse of Horror XXI;Bob Anderson;Joel H. Cohen;November 7, 2010;MABF16;8.19
469;5;Lisa Simpson, This Isn't Your Life;Matthew Nastuk;Joel H. Cohen;November 14, 2010;MABF20;8.97
470;6;The Fool Monty;Steven Dean Moore;Michael Price;November 21, 2010;NABF01;6.58
471;7;How Munched is That Birdie in the Window?;Michael Polcino;Kevin Curran;November 28, 2010;NABF02;9.38
472;8;The Fight Before Christmas;Bob Anderson & Matthew Schofield;Deb Lacusta & Dan Castellaneta;December 5, 2010;MABF22;9.54
473;9;Donnie Fatso;Ralph Sosa;Chris Cluess;December 12, 2010;MABF19;7.18
474;10;Moms I'd Like to Forget;Chris Clements;Brian Kelley;January 9, 2011;NABF03;12.6
475;11;Flaming Moe;Chuck Sheetz;Matt Selman;January 16, 2011;NABF04;6.47
476;12;Homer the Father;Mark Kirkland;Joel H. Cohen;January 23, 2011;NABF05;6.50
477;13;The Blue and the Gray;Bob Anderson;Rob LaZebnik;February 13, 2011;NABF06;5.61
478;14;Angry Dad: The Movie;Matthew Nastuk;John Frink;February 20, 2011;NABF07;6.35
479;15;The Scorpion's Tale;Matthew Schofield;Billy Kimball & Ian Maxtone-Graham;March 6, 2011;NABF08;6.20
480;16;A Midsummer's Nice Dream;Steven Dean Moore;Deb Lacusta & Dan Castellaneta;March 13, 2011;NABF09;5.44
481;17;Love Is a Many Strangled Thing;Michael Polcino;Bill Odenkirk;March 27, 2011;NABF10;6.14
482;18;The Great Simpsina;Chris Clements;Matt Warburton;April 10, 2011;NABF11;4.99
483;19;The Real Housewives of Fat Tony;Lance Kramer;Dick Blasucci;May 1, 2011;NABF12;6.10
484;20;Homer Scissorhands;Mark Kirkland;Peter Gaffney & Steve Viksten;May 8, 2011;NABF13;5.48
485;21;500 Keys;Bob Anderson;John Frink;May 15, 2011;NABF14;6.00
486;22;The Ned-Liest Catch;Chuck Sheetz;Jeff Westbrook;May 22, 2011;NABF15;5.25
487;1;The Falcon and the D'ohman;Matthew Nastuk;Justin Hurwitz;September 25, 2011;NABF16;8.08
488;2;Bart Stops to Smell the Roosevelts;Steven Dean Moore;Tim Long;October 2, 2011;NABF17;6.19
489;3;Treehouse of Horror XXII;Matthew Faughnan;Carolyn Omine;October 30, 2011;NABF19;8.10
490;4;Replaceable You;Mark Kirkland;Stephanie Gillis;November 6, 2011;NABF21;7.97
491;5;The Food Wife;Timothy Bailey;Matt Selman;November 13, 2011;NABF20;7.50
492;6;The Book Job;Bob Anderson;Dan Vebber;November 20, 2011;NABF22;5.77
493;7;The Man in the Blue Flannel Pants;Steven Dean Moore;Jeff Westbrook;November 27, 2011;PABF01;5.61
494;8;The Ten-Per-Cent Solution;Michael Polcino;Deb Lacusta & Dan Castellaneta;December 4, 2011;PABF02;9.01
495;9;Holidays of Future Passed;Rob Oliver;J. Stewart Burns;December 11, 2011;NABF18;6.43
496;10;Politically Inept, with Homer Simpson;Mark Kirkland;John Frink;January 8, 2012;PABF03;5.07
497;11;The D'oh-cial Network;Chris Clements;J. Stewart Burns;January 15, 2012;PABF04;11.48
498;12;Moe Goes from Rags to Riches;Bob Anderson;Tim Long;January 29, 2012;PABF05;5.12
499;13;The Daughter Also Rises;Chuck Sheetz;Rob LaZebnik;February 12, 2012;PABF06;4.26
500;14;At Long Last Leave;Matthew Nastuk;Michael Price;February 19, 2012;PABF07;5.77
501;15;Exit Through the Kwik-E-Mart;Steven Dean Moore;Marc Wilmore;March 4, 2012;PABF09;5.09
502;16;How I Wet Your Mother;Lance Kramer;Billy Kimball & Ian Maxtone-Graham;March 11, 2012;PABF08;4.97
503;17;Them, Robot;Michael Polcino;Michael Price;March 18, 2012;PABF10;5.25
504;18;Beware My Cheating Bart;Mark Kirkland;Ben Joseph;April 15, 2012;PABF11;4.86
505;19;A Totally Fun Thing That Bart Will Never Do Again;Chris Clements;Matt Warburton;April 29, 2012;PABF12;5.00
506;20;The Spy Who Learned Me;Bob Anderson;Marc Wilmore;May 6, 2012;PABF13;4.84
507;21;Ned 'n Edna's Blend;Chuck Sheetz;Jeff Westbrook;May 13, 2012;PABF15;4.07
508;22;Lisa Goes Gaga;Matthew Schofield;Tim Long;May 20, 2012;PABF14;4.82
509;1;Moonshine River;Bob Anderson;Tim Long;September 30, 2012;PABF21;8.08
510;2;Treehouse of Horror XXIII;Steven Dean Moore;David Mandel & Brian Kelley;October 7, 2012;PABF17;6.57
511;3;Adventures in Baby-Getting;Rob Oliver;Bill Odenkirk;November 4, 2012;PABF18;5.65
512;4;Gone Abie Gone;Matthew Nastuk;Joel H. Cohen;November 11, 2012;PABF16;6.86
513;5;Penny-Wiseguys;Mark Kirkland;Michael Price;November 18, 2012;PABF19;5.06
514;6;A Tree Grows in Springfield;Timothy Bailey;Stephanie Gillis;November 25, 2012;PABF22;7.46
515;7;The Day the Earth Stood Cool;Matthew Faughnan;Matt Selman;December 9, 2012;PABF20;7.44
516;8;To Cur with Love;Steven Dean Moore;Carolyn Omine;December 16, 2012;RABF01;3.77
517;9;Homer Goes to Prep School;Mark Kirkland;Brian Kelley;January 6, 2013;RABF02;8.97
518;10;A Test Before Trying;Chris Clements;Joel H. Cohen;January 13, 2013;RABF03;5.04
519;11;The Changing of the Guardian;Bob Anderson;Rob LaZebnik;January 27, 2013;RABF04;5.23
520;12;Love Is a Many-Splintered Thing;Chris Clements;Tim Long;February 10, 2013;RABF07;4.19
521;13;Hardly Kirk-ing;Matthew Nastuk;Tom Gammill & Max Pross;February 17, 2013;RABF05;4.57
522;14;Gorgeous Grampa;Chuck Sheetz;Matt Selman;March 3, 2013;RABF06;4.66
523;15;Black Eyed, Please;Matthew Schofield;John Frink;March 10, 2013;RABF09;4.85
524;16;Dark Knight Court;Mark Kirkland;Billy Kimball & Ian Maxtone-Graham;March 17, 2013;RABF10;4.89
525;17;What Animated Women Want;Steven Dean Moore;J. Stewart Burns;April 14, 2013;RABF08;4.11
526;18;Pulpit Friction;Chris Clements;Bill Odenkirk;April 28, 2013;RABF11;4.54
527;19;Whiskey Business;Matthew Nastuk;Valentina L. Garza;May 5, 2013;RABF13;4.43
528;20;The Fabulous Faker Boy;Bob Anderson;Brian McConnachie;May 12, 2013;RABF12;4.16
529;21;The Saga of Carl;Chuck Sheetz;Eric Kaplan;May 19, 2013;RABF14;4.01
530;22;Dangers on a Train;Steven Dean Moore;Michael Price;May 19, 2013;RABF17;4.52
531;1;Homerland;Bob Anderson;Stephanie Gillis;September 29, 2013;RABF20;6.37
532;2;Treehouse of Horror XXIV;Rob Oliver;Jeff Westbrook;October 6, 2013;RABF16;6.42
533;3;Four Regrettings and a Funeral;Mark Kirkland;Marc Wilmore;November 3, 2013;RABF18;5.43
534;4;YOLO;Michael Polcino;Michael Nobori;November 10, 2013;RABF22;4.20
535;5;Labor Pains;Matthew Faughnan;Don Payne & Mitchell H. Glazer;November 17, 2013;RABF19;4.08
536;6;The Kid Is All Right;Mark Kirkland;Tim Long;November 24, 2013;SABF02;6.78
537;7;Yellow Subterfuge;Bob Anderson;Joel H. Cohen;December 8, 2013;SABF04;6.85
538;8;White Christmas Blues;Steven Dean Moore;Don Payne;December 15, 2013;SABF01;8.48
539;9;Steal This Episode;Matthew Nastuk;J. Stewart Burns;January 5, 2014;SABF05;12.04
